,EdLevel,EdLevelClean
15853,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15854,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15855,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15856,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15857,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15858,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15859,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15860,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15861,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15862,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15863,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15864,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15865,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15866,Some college/university study without earning a degree,Some college (no degree)
15867,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15868,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15869,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15870,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15871,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15872,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15873,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15874,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15875,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15876,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15877,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15878,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15879,Some college/university study without earning a degree,Some college (no degree)
15880,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15881,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15882,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15883,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15884,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15885,Some college/university study without earning a degree,Some college (no degree)
15886,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15887,Some college/university study without earning a degree,Some college (no degree)
15888,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15889,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15890,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15891,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15892,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15893,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15894,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15895,Some college/university study without earning a degree,Some college (no degree)
15896,"Associate degree (A.A., A.S., etc.)",Associate degree
15897,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15898,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15899,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15900,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15901,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15902,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15903,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15904,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15905,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15906,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15907,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15908,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15909,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15910,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15911,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15912,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15913,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15914,Some college/university study without earning a degree,Some college (no degree)
