,EdLevel,EdLevelClean
0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
1,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
2,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
3,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5,Some college/university study without earning a degree,Some college (no degree)
6,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
7,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
8,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
9,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
10,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
11,"Associate degree (A.A., A.S., etc.)",Associate degree
12,Some college/university study without earning a degree,Some college (no degree)
13,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
14,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
17,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
18,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
19,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
20,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
21,Some college/university study without earning a degree,Some college (no degree)
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
26,Some college/university study without earning a degree,Some college (no degree)
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
28,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
36,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
38,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
39,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
40,Some college/university study without earning a degree,Some college (no degree)
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
42,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
43,Some college/university study without earning a degree,Some college (no degree)
44,Some college/university study without earning a degree,Some college (no degree)
45,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
46,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
47,"Associate degree (A.A., A.S., etc.)",Associate degree
48,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
49,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
50,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
51,Some college/university study without earning a degree,Some college (no degree)
52,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
53,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
54,Some college/university study without earning a degree,Some college (no degree)
55,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
56,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
57,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
58,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
59,Some college/university study without earning a degree,Some college (no degree)
60,Some college/university study without earning a degree,Some college (no degree)
61,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
62,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
63,Some college/university study without earning a degree,Some college (no degree)
64,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
65,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
66,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
67,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
68,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
69,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
70,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
71,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
72,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
73,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
74,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
75,Some college/university study without earning a degree,Some college (no degree)
76,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
77,Some college/university study without earning a degree,Some college (no degree)
78,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
79,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
80,Some college/university study without earning a degree,Some college (no degree)
81,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
82,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
83,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
84,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
85,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
86,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
87,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
88,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
89,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
90,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
91,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
92,Some college/university study without earning a degree,Some college (no degree)
93,Some college/university study without earning a degree,Some college (no degree)
94,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
95,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
96,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
97,Some college/university study without earning a degree,Some college (no degree)
98,Some college/university study without earning a degree,Some college (no degree)
99,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
100,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
101,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
102,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
103,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
104,"Associate degree (A.A., A.S., etc.)",Associate degree
105,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
106,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
107,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
108,Some college/university study without earning a degree,Some college (no degree)
109,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
110,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
111,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
112,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
113,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
114,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
115,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
116,Some college/university study without earning a degree,Some college (no degree)
117,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
118,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
119,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
120,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
121,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
122,Some college/university study without earning a degree,Some college (no degree)
123,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
124,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
125,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
126,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
127,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
128,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
129,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
130,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
131,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
132,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
133,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
134,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
135,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
136,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
137,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
138,Some college/university study without earning a degree,Some college (no degree)
139,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
140,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
141,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
142,Some college/university study without earning a degree,Some college (no degree)
143,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
144,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
145,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
146,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
147,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
148,"Associate degree (A.A., A.S., etc.)",Associate degree
149,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
150,Some college/university study without earning a degree,Some college (no degree)
151,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
152,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
153,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
154,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
155,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
156,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
157,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
158,Some college/university study without earning a degree,Some college (no degree)
159,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
160,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
161,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
162,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
163,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
164,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
165,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
166,Some college/university study without earning a degree,Some college (no degree)
167,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
168,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
169,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
170,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
171,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
172,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
173,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
174,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
175,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
176,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
177,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
178,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
179,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
180,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
181,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
182,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
183,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
184,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
185,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
186,Something else,Something else
187,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
188,"Associate degree (A.A., A.S., etc.)",Associate degree
189,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
190,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
191,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
192,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
193,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
194,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
195,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
196,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
197,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
198,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
199,"Associate degree (A.A., A.S., etc.)",Associate degree
200,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
201,Some college/university study without earning a degree,Some college (no degree)
202,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
203,Some college/university study without earning a degree,Some college (no degree)
204,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
205,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
206,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
207,Some college/university study without earning a degree,Some college (no degree)
208,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
209,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
210,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
211,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
212,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
213,Some college/university study without earning a degree,Some college (no degree)
214,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
215,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
216,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
217,Some college/university study without earning a degree,Some college (no degree)
218,Some college/university study without earning a degree,Some college (no degree)
219,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
220,Some college/university study without earning a degree,Some college (no degree)
221,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
222,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
223,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
224,Some college/university study without earning a degree,Some college (no degree)
225,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
226,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
227,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
228,"Associate degree (A.A., A.S., etc.)",Associate degree
229,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
230,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
231,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
232,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
233,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
234,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
235,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
236,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
237,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
238,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
239,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
240,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
241,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
242,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
243,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
244,Some college/university study without earning a degree,Some college (no degree)
245,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
246,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
247,Some college/university study without earning a degree,Some college (no degree)
248,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
249,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
250,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
251,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
252,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
253,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
254,Some college/university study without earning a degree,Some college (no degree)
255,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
256,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
257,Some college/university study without earning a degree,Some college (no degree)
258,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
259,Something else,Something else
260,"Associate degree (A.A., A.S., etc.)",Associate degree
261,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
262,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
263,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
264,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
265,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
266,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
267,"Associate degree (A.A., A.S., etc.)",Associate degree
268,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
269,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
270,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
271,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
272,Something else,Something else
273,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
274,Some college/university study without earning a degree,Some college (no degree)
275,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
276,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
277,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
278,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
279,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
280,"Associate degree (A.A., A.S., etc.)",Associate degree
281,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
282,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
283,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
284,Some college/university study without earning a degree,Some college (no degree)
285,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
286,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
287,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
288,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
289,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
290,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
291,Something else,Something else
292,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
293,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
294,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
295,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
296,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
297,"Associate degree (A.A., A.S., etc.)",Associate degree
298,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
299,Some college/university study without earning a degree,Some college (no degree)
300,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
301,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
302,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
303,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
304,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
305,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
306,Some college/university study without earning a degree,Some college (no degree)
307,Some college/university study without earning a degree,Some college (no degree)
308,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
309,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
310,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
311,Some college/university study without earning a degree,Some college (no degree)
312,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
313,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
314,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
315,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
316,"Associate degree (A.A., A.S., etc.)",Associate degree
317,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
318,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
319,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
320,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
321,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
322,Primary/elementary school,Primary/elementary school
323,Some college/university study without earning a degree,Some college (no degree)
324,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
325,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
326,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
327,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
328,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
329,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
330,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
331,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
332,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
333,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
334,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
335,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
336,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
337,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
338,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
339,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
340,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
341,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
342,Some college/university study without earning a degree,Some college (no degree)
343,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
344,Some college/university study without earning a degree,Some college (no degree)
345,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
346,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
347,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
348,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
349,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
350,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
351,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
352,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
353,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
354,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
355,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
356,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
357,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
358,Something else,Something else
359,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
360,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
361,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
362,Some college/university study without earning a degree,Some college (no degree)
363,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
364,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
365,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
366,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
367,Some college/university study without earning a degree,Some college (no degree)
368,Something else,Something else
369,Some college/university study without earning a degree,Some college (no degree)
370,Some college/university study without earning a degree,Some college (no degree)
371,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
372,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
373,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
374,Some college/university study without earning a degree,Some college (no degree)
375,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
376,Some college/university study without earning a degree,Some college (no degree)
377,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
378,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
379,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
380,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
381,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
382,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
383,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
384,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
