,Age,EdLevel,AgeClean,AgeOrder,EdLevelClean
0,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
1,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
2,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
3,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
5,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
6,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
7,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
8,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
9,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
10,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
11,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
12,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
13,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
14,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
15,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
16,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
18,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
19,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
20,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
21,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
22,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
23,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
24,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
25,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
26,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
27,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
28,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
29,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
30,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
31,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
32,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
33,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
34,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
35,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
36,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
37,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
38,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
39,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
40,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
41,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
42,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18,1,Secondary School
43,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
44,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
45,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
46,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
47,18-24 years old,"Associate degree (A.A., A.S., etc.)",18-24,2,Associate degree
48,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
49,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
50,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
51,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
52,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
53,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
54,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
55,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
56,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
57,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
58,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
59,55-64 years old,Some college/university study without earning a degree,55-64,6,Some college (no degree)
60,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
61,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
62,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
63,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
64,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
65,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
66,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
67,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
68,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
69,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
70,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
71,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
72,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
73,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
74,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
75,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
76,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
77,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
78,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
79,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
80,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
81,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
82,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
83,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
84,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
85,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
86,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
87,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
88,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
89,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
90,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
91,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
92,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
93,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
94,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
95,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
96,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34,3,Professional degree
97,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
98,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
99,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
100,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
101,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
102,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
103,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
104,35-44 years old,"Associate degree (A.A., A.S., etc.)",35-44,4,Associate degree
105,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
106,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
107,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
108,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
109,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
110,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
111,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
112,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
113,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
114,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
115,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
116,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
117,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
118,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
119,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
120,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
121,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
122,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
123,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
124,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
125,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
126,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
127,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
128,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
129,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
130,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
131,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
132,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
133,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
134,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
135,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
136,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
137,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
138,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
139,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
140,65 years or older,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",65+,7,Master's degree
141,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
142,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
143,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
144,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
145,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
146,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
147,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
148,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
149,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
150,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
151,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
152,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
153,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
154,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
155,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
156,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
157,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
158,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
159,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
160,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
161,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
162,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
163,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
164,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
165,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
166,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
167,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
168,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
169,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
170,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
171,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
172,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
173,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
174,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
175,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
176,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
177,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
178,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
179,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
180,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
181,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
182,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
183,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
184,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
185,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",65+,7,Bachelor's degree
186,18-24 years old,Something else,18-24,2,Something else
187,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
188,35-44 years old,"Associate degree (A.A., A.S., etc.)",35-44,4,Associate degree
189,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
190,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
191,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
192,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
193,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
194,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
195,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
196,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
197,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
198,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
199,18-24 years old,"Associate degree (A.A., A.S., etc.)",18-24,2,Associate degree
200,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
201,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
202,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
203,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
204,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
205,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
206,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
207,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
208,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
209,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
210,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
211,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
212,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
213,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
214,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
215,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
216,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
217,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
218,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
219,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
220,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
221,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
222,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
223,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
224,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
225,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
226,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
227,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
228,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
229,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
230,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
231,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
232,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
233,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
234,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
235,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
236,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
237,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
238,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
239,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
240,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
241,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
242,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
243,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
244,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
245,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
246,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
247,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
248,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
249,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
250,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
251,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
252,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
253,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
254,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
255,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
256,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
257,55-64 years old,Some college/university study without earning a degree,55-64,6,Some college (no degree)
258,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
259,35-44 years old,Something else,35-44,4,Something else
260,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
261,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",65+,7,Bachelor's degree
262,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
263,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
264,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
265,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
266,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
267,45-54 years old,"Associate degree (A.A., A.S., etc.)",45-54,5,Associate degree
268,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
269,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
270,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34,3,Professional degree
271,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
272,35-44 years old,Something else,35-44,4,Something else
273,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
274,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
275,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
276,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
277,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
278,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
279,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
280,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
281,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
